number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,city,zip code,exchange rate,unit price of residence space,unit price of building space,total cost,month,day,latitude,longitude
5,2.5,2820,67518,2.0,0,0,3,2820,0,1979,2014,Issaquah,WA 98029,6.784829586,11.88640925,0.977028065,3,5,2,47.579557,-122.025151
2,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,Seattle,WA 98106,6.24312897,25.68141395,0.698603269,1,5,2,47.5341954,-122.3602075
4,2.5,2200,9397,2.0,0,0,3,2200,0,1987,2000,Auburn,WA 98001,6.010127234,16.92117418,0.238881599,1,5,2,47.340581,-122.269
3,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,Kent,WA 98042,7.560375075,19.63223009,0.876178201,1,5,2,47.422533,-122.153099
3,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,Des Moines,WA 98198,6.543940818,28.20592954,0.132471884,1,5,2,47.381537,-122.312891
4,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,Renton,WA 98055,6.685126872,25.96572111,0.053685654,1,5,2,47.461995,-122.19286
3,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,North Bend,WA 98045,7.796227913,21.74038746,0.93605248,1,5,2,47.48802,-121.787028
3,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,Federal Way,WA 98003,7.628943769,16.87338937,0.193127506,1,5,2,47.353675,-122.30318
3,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,Maple Valley,WA 98038,7.825561964,18.83909179,0.092553336,1,5,2,47.349195,-122.034141
2,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,Seattle,WA 98106,7.553219422,23.9028731,0.069086583,1,5,2,47.54851877,-122.36297101
3,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,Kent,WA 98042,6.911986808,15.70129091,0.697342912,2,5,2,47.3358614,-122.0548931
2,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,Shoreline,WA 98155,6.249731803,57.84326105,0.031640154,2,5,2,45.72790726,-122.67014638
3,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,Woodinville,WA 98077,7.301034319,33.43470807,0.474979359,2,5,2,47.7426875,-122.072379
3,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,Fall City,WA 98024,7.1345454,28.85883307,0.083730018,2,5,2,47.564254,-121.896841
2,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,Redmond,WA 98052,6.740098473,35.48435314,0.702602026,2,5,2,47.634381,-122.10739
3,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,Kent,WA 98042,7.405652509,20.84334658,0.498307684,2,5,2,47.367409,-122.150459
3,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,Seattle,WA 98106,6.221002758,50.24078694,0.607576598,2,5,2,47.5333533,-122.3649627
4,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,Auburn,WA 98092,7.246575816,15.32751844,0.421107028,2,5,2,47.327859,-122.191059
4,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,Kirkland,WA 98034,7.027655904,33.00711095,0.337554974,2,5,2,47.727436,-122.18125
3,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,Seattle,WA 98199,6.712977807,43.40835021,0.039619469,2,5,2,47.650621,-122.383004
3,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,Normandy Park,WA 98166,7.749723765,23.58217739,0.441281361,2,5,2,47.441909,-122.340255
3,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,Renton,WA 98059,6.378198211,28.81902513,0.790516065,2,5,2,47.493816,-122.161143
3,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,Bellevue,WA 98007,7.903107225,32.25730939,0.354200936,2,5,2,47.602204,-122.134002
3,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,Bellevue,WA 98008,6.369354964,29.94203141,0.754256584,2,5,2,38.89462929,-76.97981528
4,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,Bellevue,WA 98006,6.441283761,31.90292398,0.550326486,2,5,2,47.572523,-122.133134
4,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,Bellevue,WA 98006,6.708046609,43.62533976,0.180766992,2,5,2,47.574559,-122.134872
3,2.5,1770,1235,3.0,0,0,3,1600,170,2007,0,Seattle,WA 98103,6.020616795,40.44578799,0.685874679,2,5,2,47.6964986,-122.3420693
3,2.25,1970,35100,2.0,0,0,4,1970,0,1977,0,Issaquah,WA 98027,6.843867937,19.12091102,0.748081035,2,5,2,47.463495,-121.990793
